id,created_at,buyer_entity_id,claims
3161,2020-12-21 15:29:10 UTC,882833,"[1363763]"
3162,2020-12-21 15:29:55 UTC,882833,"[1363769]"
3163,2020-12-21 15:30:08 UTC,882833,"[1363748]"
3164,2020-12-21 15:30:20 UTC,882833,"[1363756]"
3167,2020-12-21 15:31:01 UTC,882833,"[1363745]"
3168,2020-12-21 15:31:42 UTC,882833,"[1368291]"
3171,2020-12-21 15:33:35 UTC,882833,"[1363735]"
3174,2020-12-21 15:34:26 UTC,882833,"[1363726]"
3175,2020-12-21 15:34:49 UTC,882833,"[1363590]"
3178,2020-12-21 15:36:33 UTC,882833,"[1362135]"
3181,2020-12-21 15:38:00 UTC,882833,"[1361461]"
3184,2020-12-21 15:39:06 UTC,882833,"[1317096]"
3185,2020-12-21 15:39:43 UTC,882833,"[1317072]"
3188,2020-12-21 15:40:39 UTC,882833,"[1317070]"
3259,2020-12-28 18:03:43 UTC,882833,"[1182570]"
3261,2020-12-28 18:07:36 UTC,882833,"[1181270]"
3263,2020-12-28 18:10:49 UTC,882833,"[750199]"
3549,2021-01-26 23:35:57 UTC,882833,"[1096421]"
3550,2021-01-26 23:35:57 UTC,882833,"[74673]"
3551,2021-01-26 23:35:57 UTC,882833,"[75809]"
3552,2021-01-26 23:35:58 UTC,882833,"[75788]"
3553,2021-01-26 23:35:58 UTC,882833,"[73529]"
3554,2021-01-26 23:35:58 UTC,882833,"[1096476]"
3555,2021-01-26 23:35:58 UTC,882833,"[74520]"
3556,2021-01-26 23:35:58 UTC,882833,"[1096641]"
19342,2021-04-07 01:49:34 UTC,2368148,"[1097473]"
124,2020-09-15 20:00:06 UTC,882833,"[78797]"
4574,2021-02-22 22:40:08 UTC,882833,"[1146207]"
4576,2021-02-22 22:40:08 UTC,882833,"[1095303]"
4577,2021-02-22 22:40:08 UTC,882833,"[75392]"
4578,2021-02-22 22:40:08 UTC,882833,"[75876]"
5266,2021-03-18 20:56:05 UTC,882833,"[1504995]"
2258,2020-11-09 20:07:59 UTC,882833,"[78805]"
3169,2020-12-21 15:31:58 UTC,882833,"[1368289]"
3170,2020-12-21 15:32:27 UTC,882833,"[1361486]"
3182,2020-12-21 15:38:27 UTC,882833,"[1317080]"
3183,2020-12-21 15:38:52 UTC,882833,"[1317090]"
4580,2021-02-22 22:40:08 UTC,882833,"[76223]"
4609,2021-02-23 17:23:41 UTC,882833,"[1206683]"
4614,2021-02-23 17:23:41 UTC,882833,"[78164]"
4616,2021-02-23 17:23:42 UTC,882833,"[1206296]"
4621,2021-02-23 17:23:42 UTC,882833,"[73647]"
4642,2021-02-24 22:05:36 UTC,882833,"[1147365]"
4643,2021-02-24 22:05:36 UTC,882833,"[1352315]"
19344,2021-04-07 01:49:34 UTC,2368148,"[75946]"
3564,2021-01-26 23:35:58 UTC,882833,"[1095363]"
125,2020-09-15 20:04:30 UTC,882833,"[1100990]"
132,2020-09-15 20:16:29 UTC,882833,"[74769]"
3186,2020-12-21 15:40:04 UTC,882833,"[1317062]"
3187,2020-12-21 15:40:18 UTC,882833,"[1317078]"
3189,2020-12-21 15:41:11 UTC,882833,"[1317045]"
3190,2020-12-21 16:33:10 UTC,2028115,"[1316854]"
3191,2020-12-21 16:33:34 UTC,2028115,"[1263452]"
3201,2020-12-21 16:37:27 UTC,2028115,"[1263201]"
3202,2020-12-21 16:37:48 UTC,2028115,"[1263370]"
3203,2020-12-21 16:38:11 UTC,2028115,"[1264071]"
3204,2020-12-21 16:38:33 UTC,2028115,"[1243223]"
3205,2020-12-21 16:38:59 UTC,2028115,"[1263438]"
3206,2020-12-21 16:39:19 UTC,2028115,"[1263741]"
3207,2020-12-21 16:39:52 UTC,2028115,"[1263493]"
3208,2020-12-21 16:40:10 UTC,2028115,"[1243341]"
3209,2020-12-21 16:40:26 UTC,2028115,"[1263472]"
3210,2020-12-21 16:40:45 UTC,2028115,"[1263434]"
3211,2020-12-21 16:41:05 UTC,2028115,"[1263390]"
3212,2020-12-21 16:41:22 UTC,2028115,"[1263446]"
3213,2020-12-21 16:41:44 UTC,2028115,"[1263558]"
3214,2020-12-21 16:41:59 UTC,2028115,"[1263808]"
3215,2020-12-21 16:42:20 UTC,2028115,"[1316844]"
3216,2020-12-21 16:47:07 UTC,2028115,"[1263418]"
3223,2020-12-21 16:49:21 UTC,2028115,"[1263610]"
3224,2020-12-21 16:49:40 UTC,2028115,"[1263671]"
3225,2020-12-21 16:49:55 UTC,2028115,"[1243140]"
3226,2020-12-21 16:50:14 UTC,2028115,"[1263253]"
3227,2020-12-21 16:50:45 UTC,2028115,"[1263784]"
3228,2020-12-21 16:51:11 UTC,2028115,"[1245544]"
3229,2020-12-21 16:51:26 UTC,2028115,"[1316852]"
3230,2020-12-21 16:51:40 UTC,2028115,"[1263554]"
3231,2020-12-21 16:51:59 UTC,2028115,"[1263402]"
3232,2020-12-21 16:53:37 UTC,2028115,"[1316841]"
3233,2020-12-21 16:53:55 UTC,2028115,"[1316845]"
3234,2020-12-21 16:54:11 UTC,2028115,"[1243338]"
3235,2020-12-21 16:54:29 UTC,2028115,"[1245616]"
3236,2020-12-21 16:54:51 UTC,2028115,"[1263457]"
3237,2020-12-21 16:55:08 UTC,2028115,"[1263775]"
3238,2020-12-21 16:55:24 UTC,2028115,"[1263755]"
3239,2020-12-21 16:55:40 UTC,2028115,"[1263710]"
3240,2020-12-21 16:55:55 UTC,2028115,"[1316842]"
3241,2020-12-21 16:56:09 UTC,2028115,"[1263817]"
3242,2020-12-21 16:56:59 UTC,2028115,"[1263291]"
3243,2020-12-21 16:57:22 UTC,2028115,"[1263311]"
3244,2020-12-21 16:57:40 UTC,2028115,"[1263893]"
