id,negotiation_id,legal_entity_id,action
12063,5083,882833,offer
12064,5084,882833,offer
12065,5085,882833,offer
12066,5086,882833,offer
12067,5087,882833,offer
12068,5088,882833,offer
7951,3453,882833,offer
7952,3454,882833,offer
7953,3455,882833,offer
7954,3456,882833,offer
12069,5089,882833,offer
12070,5090,882833,offer
12071,5091,882833,offer
12072,5092,882833,offer
4190,550,,cancel
12073,5093,882833,offer
107518,32044,,cancel
6113,3470,2338066,offer
6173,3520,2339066,offer
92315,3483,2337887,add_payment_info
111653,4711,,cancel
12074,5094,882833,offer
12075,5095,882833,offer
12076,5096,882833,offer
12077,5097,882833,offer
12078,5098,882833,offer
12079,5099,882833,offer
12080,5100,882833,offer
12081,5101,882833,offer
12082,5102,882833,offer
12083,5103,882833,offer
12084,5104,882833,offer
12085,5105,882833,offer
12086,5106,882833,offer
12087,5107,882833,offer
12088,5108,882833,offer
12089,5109,882833,offer
12090,5110,882833,offer
12091,5111,882833,offer
12092,5112,882833,offer
12093,5113,882833,offer
7981,3649,882833,offer
7984,3654,882833,offer
7985,3655,882833,offer
12094,5114,882833,offer
12095,5115,882833,offer
12096,5116,882833,offer
12097,5117,882833,offer
12098,5118,882833,offer
12099,5119,882833,offer
12100,5120,882833,offer
12101,5121,882833,offer
12102,5122,882833,offer
12103,5123,882833,offer
12104,5124,882833,offer
12105,5125,882833,offer
12106,5126,882833,offer
12107,5127,882833,offer
12108,5128,882833,offer
12109,5129,882833,offer
12111,5131,882833,offer
12112,5132,882833,offer
6027,3399,2239805,offer
10411,4353,79487,add_payment_info
329,261,,stage_for_transfer
343,188,,stage_for_transfer
107520,34775,,cancel
107521,2618,,cancel
120902,23155,,cancel
307,246,882833,offer
309,248,882833,offer
311,250,882833,offer
312,251,882833,offer
314,253,882833,offer
316,255,882833,offer
319,258,882833,offer
347,274,882833,offer
348,275,882833,offer
12113,5133,882833,offer
12114,5134,882833,offer
12115,5135,882833,offer
12116,5136,882833,offer
4383,1562,,cancel
12117,5137,882833,offer
12118,5138,882833,offer
12119,5139,882833,offer
12120,5140,882833,offer
12121,5141,882833,offer
12122,5142,882833,offer
12123,5143,882833,offer
12124,5144,882833,offer
12125,5145,882833,offer
12126,5146,882833,offer
12127,5147,882833,offer
12128,5148,882833,offer
107522,34559,,cancel
92314,3483,2337887,sign
9636,4037,882833,offer
9638,4039,882833,offer
9640,4041,882833,offer
120903,23159,,cancel
9633,4034,882833,offer
9634,4035,882833,offer
9637,4038,882833,offer
9639,4040,882833,offer
9641,4042,882833,offer
9642,4043,882833,offer
9643,4044,882833,offer
9644,4045,882833,offer
9645,4046,882833,offer
9646,4047,882833,offer
9647,4048,882833,offer
12129,5149,882833,offer
12130,5150,882833,offer
12131,5152,882833,offer
12132,5153,882833,offer
12133,5154,882833,offer
12134,5155,882833,offer
12135,5156,882833,offer
12136,5157,882833,offer
12137,5158,882833,offer
12138,5159,882833,offer
12139,5160,882833,offer
12140,5161,882833,offer
12141,5162,882833,offer
12142,5163,882833,offer
12143,5164,882833,offer
12144,5165,882833,offer
12145,5166,882833,offer
12146,5167,882833,offer
12147,5168,882833,offer
12148,5169,882833,offer
12149,5170,882833,offer
12150,5171,882833,offer
48874,26482,2368148,offer
7996,3532,882833,offer
7997,3533,882833,offer
7998,3534,882833,offer
7999,3535,882833,offer
8000,3536,882833,offer
8001,3538,882833,offer
8002,3539,882833,offer
8003,3541,882833,offer
8004,3542,882833,offer
8005,3543,882833,offer
12151,5172,882833,offer
12152,5173,882833,offer
12153,5174,882833,offer
12154,5175,882833,offer
12155,5176,882833,offer
12156,5177,882833,offer
12157,5178,882833,offer
12158,5179,882833,offer
12159,5180,882833,offer
12160,5181,882833,offer
12161,5182,882833,offer
12162,5183,882833,offer
12163,5184,882833,offer
12164,5185,882833,offer
12165,5186,882833,offer
12166,5187,882833,offer
12167,5188,882833,offer
12168,5189,882833,offer
12169,5190,882833,offer
12170,5220,882833,offer
12171,5226,882833,offer
12188,4081,882833,offer
12192,4448,882833,offer
12193,4449,882833,offer
12194,4450,882833,offer
402,319,,cancel
110422,41230,2129659,offer
406,331,882833,offer
407,332,882833,offer
408,333,882833,offer
420,345,882833,offer
421,346,882833,offer
422,347,882833,offer
12195,4451,882833,offer
4032,980,,cancel
12196,4452,882833,offer
12197,4453,882833,offer
12198,4454,882833,offer
12199,4455,882833,offer
12200,4456,882833,offer
12201,4457,882833,offer
12202,4458,882833,offer
12203,5227,882833,offer
12204,5228,882833,offer
12205,5229,882833,offer
12206,5230,882833,offer
12207,5231,882833,offer
12208,5232,882833,offer
5855,3281,2311144,offer
8030,3573,882833,offer
8031,3574,882833,offer
8032,3575,882833,offer
8033,3576,882833,offer
8034,3577,882833,offer
8035,3578,882833,offer
8036,3579,882833,offer
8037,3580,882833,offer
8038,3581,882833,offer
8039,3582,882833,offer
8040,3601,882833,offer
8041,3602,882833,offer
8042,3603,882833,offer
8043,3604,882833,offer
8044,3606,882833,offer
8045,3608,882833,offer
8046,3609,882833,offer
12209,5233,882833,offer
12210,5234,882833,offer
12211,5235,882833,offer
12212,2848,882833,offer
12213,2849,882833,offer
12214,2850,882833,offer
12215,2851,882833,offer
12216,2853,882833,offer
12217,2854,882833,offer
12218,2855,882833,offer
12219,2856,882833,offer
12220,2857,882833,offer
12221,2858,882833,offer
12222,2859,882833,offer
12223,2860,882833,offer
12224,2861,882833,offer
12225,2862,882833,offer
12226,2863,882833,offer
12227,2864,882833,offer
12228,2865,882833,offer
110423,41231,2129659,offer
116647,41062,882833,offer
451,374,882833,offer
453,376,882833,offer
454,377,882833,offer
455,378,882833,offer
456,379,882833,offer
457,380,882833,offer
458,381,882833,offer
459,382,882833,offer
460,383,882833,offer
461,384,882833,offer
472,395,882833,offer
12229,2866,882833,offer
12230,2867,882833,offer
107523,2602,,cancel
12231,2868,882833,offer
12232,2870,882833,offer
4581,1446,,cancel
12233,2871,882833,offer
12234,2872,882833,offer
12235,2873,882833,offer
12236,2874,882833,offer
48875,26483,2368148,offer
12237,2875,882833,offer
12238,2877,882833,offer
12239,2878,882833,offer
12240,2879,882833,offer
12241,2880,882833,offer
12242,2881,882833,offer
12243,2882,882833,offer
12244,2883,882833,offer
12245,2884,882833,offer
12246,2885,882833,offer
12247,2886,882833,offer
12248,2887,882833,offer
12249,2889,882833,offer
12250,2890,882833,offer
12251,2891,882833,offer
12252,2892,882833,offer
12253,2893,882833,offer
12254,2894,882833,offer
12255,2895,882833,offer
12256,2896,882833,offer
12257,2897,882833,offer
12258,2898,882833,offer
8065,3630,882833,offer
12259,2899,882833,offer
12260,2900,882833,offer
12261,2901,882833,offer
12262,2902,882833,offer
12263,2904,882833,offer
12264,3073,882833,offer
12265,3398,882833,offer
107524,34788,,cancel
12267,4450,882833,accept
12269,1965,882833,offer
12270,1966,882833,offer
12271,1967,882833,offer
107525,2624,,cancel
12272,1968,882833,offer
12273,1969,882833,offer
6028,3410,1958477,offer
12274,1970,882833,offer
12275,1971,882833,offer
12276,1972,882833,offer
12277,2031,882833,offer
12278,2032,882833,offer
12279,2034,882833,offer
64900,4945,882833,offer
64901,4947,882833,offer
8093,3674,882833,offer
8094,3675,882833,offer
8095,3676,882833,offer
8096,3677,882833,offer
8097,3678,882833,offer
8098,3679,882833,offer
8099,3680,882833,offer
9648,4049,882833,offer
9649,4050,882833,offer
12280,2035,882833,offer
12281,2036,882833,offer
12282,2037,882833,offer
12291,2047,882833,offer
107526,34765,,cancel
107602,4739,,cancel
12292,2048,882833,offer
12293,2049,882833,offer
12294,2050,882833,offer
12295,2051,882833,offer
12296,2052,882833,offer
12297,2053,882833,offer
12298,2054,882833,offer
12299,2055,882833,offer
107527,34752,,cancel
12300,2056,882833,offer
12301,2057,882833,offer
12302,2058,882833,offer
12303,2059,882833,offer
107528,2595,,cancel
12304,2060,882833,offer
12305,2061,882833,offer
12306,2062,882833,offer
12307,2063,882833,offer
12308,2064,882833,offer
12309,2065,882833,offer
484,275,,cancel
110424,41232,2129659,offer
110156,41234,2129659,offer
539,448,882833,offer
540,449,882833,offer
542,451,882833,offer
544,453,882833,offer
545,454,882833,offer
12310,2066,882833,offer
12311,2067,882833,offer
12312,2070,882833,offer
12313,2071,882833,offer
12314,2073,882833,offer
12315,2074,882833,offer
12316,2076,882833,offer
12317,2078,882833,offer
12318,2079,882833,offer
12319,2080,882833,offer
12320,2081,882833,offer
12321,2082,882833,offer
107529,2600,,cancel
12322,2083,882833,offer
12323,2084,882833,offer
12324,2085,882833,offer
12325,2086,882833,offer
12326,2087,882833,offer
12327,2088,882833,offer
12328,2089,882833,offer
48876,26484,2368148,offer
107530,2605,,cancel
8115,3484,882833,offer
8116,3485,882833,offer
8117,3489,882833,offer
8118,3490,882833,offer
8119,3491,882833,offer
8120,3492,882833,offer
8121,3494,882833,offer
8122,3496,882833,offer
8123,3499,882833,offer
8124,3500,882833,offer
8125,3502,882833,offer
12329,2090,882833,offer
12330,2567,882833,offer
12331,2625,882833,offer
12332,3293,882833,offer
12333,3296,882833,offer
4601,1443,,cancel
12334,3415,882833,offer
12335,4117,882833,offer
12336,4118,882833,offer
12337,4119,882833,offer
107531,2604,,cancel
12338,4120,882833,offer
12339,4121,882833,offer
12340,4122,882833,offer
12341,4123,882833,offer
12342,4124,882833,offer
12343,4125,882833,offer
107532,2608,,cancel
12344,4126,882833,offer
110157,41235,2129659,offer
593,496,882833,offer
595,498,882833,offer
597,500,882833,offer
598,501,882833,offer
599,296,882833,retract
603,504,882833,offer
604,505,882833,offer
606,507,882833,offer
607,508,882833,offer
610,511,882833,offer
611,512,882833,offer
612,513,882833,offer
614,515,882833,offer
615,516,882833,offer
12345,4128,882833,offer
12346,4129,882833,offer
12347,4130,882833,offer
12348,4131,882833,offer
12349,4132,882833,offer
12350,4133,882833,offer
116648,39959,882833,offer
12352,4135,882833,offer
12353,4136,882833,offer
12354,4137,882833,offer
12355,4138,882833,offer
12356,4139,882833,offer
107533,2613,,cancel
12357,4140,882833,offer
12358,4141,882833,offer
12359,4142,882833,offer
12360,4143,882833,offer
12361,4144,882833,offer
12362,4145,882833,offer
12363,4146,882833,offer
12364,4459,882833,offer
12365,4460,882833,offer
12366,4461,882833,offer
12367,4462,882833,offer
12368,4463,882833,offer
12369,4464,882833,offer
12370,4465,882833,offer
12371,4466,882833,offer
12372,4467,882833,offer
12373,4468,882833,offer
12374,4469,882833,offer
92313,3483,2337887,accept
6031,3258,740449,offer
12375,4470,882833,offer
12376,4471,882833,offer
12377,4472,882833,offer
12378,4473,882833,offer
12379,4474,882833,offer
12380,4475,882833,offer
12381,4476,882833,offer
12382,4477,882833,offer
12383,4478,882833,offer
12384,4479,882833,offer
12385,4480,882833,offer
12386,4481,882833,offer
12387,4482,882833,offer
12388,4483,882833,offer
12389,4484,882833,offer
12390,4485,882833,offer
12391,4486,882833,offer
12392,4488,882833,offer
12393,4489,882833,offer
12394,4490,882833,offer
12395,4491,882833,offer
12396,4492,882833,offer
12397,4493,882833,offer
12398,4494,882833,offer
12399,4495,882833,offer
12400,4496,882833,offer
12401,4497,882833,offer
12402,4498,882833,offer
12403,4499,882833,offer
12404,4500,882833,offer
12405,4501,882833,offer
12406,4502,882833,offer
12407,4503,882833,offer
12408,4504,882833,offer
12409,4506,882833,offer
12410,4507,882833,offer
12411,4508,882833,offer
12412,4509,882833,offer
12413,4510,882833,offer
12414,4511,882833,offer
12415,4512,882833,offer
107534,2606,,cancel
12416,4513,882833,offer
12417,4514,882833,offer
12418,4515,882833,offer
12419,4516,882833,offer
12420,4517,882833,offer
12421,4518,882833,offer
12422,4519,882833,offer
12423,4520,882833,offer
12424,4521,882833,offer
12425,4522,882833,offer
12426,4523,882833,offer
12427,4524,882833,offer
12428,4525,882833,offer
12429,4526,882833,offer
12430,4527,882833,offer
12431,4528,882833,offer
12432,4529,882833,offer
12433,4530,882833,offer
12434,4531,882833,offer
12435,4532,882833,offer
12436,4533,882833,offer
110158,41236,2129659,offer
120904,23167,,cancel
679,576,882833,offer
12437,4534,882833,offer
12438,4535,882833,offer
12439,4536,882833,offer
12440,4537,882833,offer
12441,4538,882833,offer
12442,4539,882833,offer
12443,4540,882833,offer
12444,4541,882833,offer
12445,4542,882833,offer
12446,4543,882833,offer
110159,41237,2129659,offer
12451,4548,882833,offer
12452,4549,882833,offer
12453,4550,882833,offer
12454,4551,882833,offer
12455,4552,882833,offer
12456,4553,882833,offer
12457,4554,882833,offer
12458,4555,882833,offer
12459,4556,882833,offer
12461,4558,882833,offer
107535,2622,,cancel
107536,4329,,cancel
715,564,,stage_for_transfer
107537,4339,,cancel
107538,34731,,cancel
719,36,,cancel
107539,34726,,cancel
107540,34733,,cancel
12460,4557,882833,offer
733,176,882833,retract
735,611,882833,offer
736,611,882833,retract
738,612,882833,offer
12464,4561,882833,offer
107541,4731,,cancel
12465,4562,882833,offer
12466,4590,882833,offer
12467,4591,882833,offer
12468,4592,882833,offer
107653,4356,,cancel
110392,41246,882833,offer
12470,4594,882833,offer
12471,4595,882833,offer
12472,4596,882833,offer
12473,4597,882833,offer
12474,4598,882833,offer
12475,4599,882833,offer
12476,4600,882833,offer
12477,4601,882833,offer
12478,4602,882833,offer
12479,4603,882833,offer
12480,4604,882833,offer
12481,4605,882833,offer
12926,5271,2339097,offer
12482,4606,882833,offer
12483,4607,882833,offer
12484,4608,882833,offer
12485,4609,882833,offer
12486,4610,882833,offer
12487,4611,882833,offer
12488,4612,882833,offer
12489,4613,882833,offer
12490,4614,882833,offer
12491,4615,882833,offer
12492,4616,882833,offer
12493,4617,882833,offer
12494,4618,882833,offer
12495,4619,882833,offer
12496,4620,882833,offer
107542,4358,,cancel
12497,4622,882833,offer
12498,4623,882833,offer
107543,4321,,cancel
12526,4448,882833,offer
12527,4449,882833,offer
107544,4316,,cancel
12528,4451,882833,offer
12529,4452,882833,offer
107545,4310,,cancel
12530,4453,882833,offer
12531,4454,882833,offer
107546,4349,,cancel
12532,4455,882833,offer
